SA,941,0.883,0.882,42.402,0.168
GA,941,0.117,0.118,3137.379,0.164
RHC,956,0.117,0.118,56.084,0.376
SA,956,0.274,0.272,43.076,0.183
GA,956,0.117,0.118,3135.028,0.128
RHC,971,0.117,0.118,37.589,0.298
SA,971,0.263,0.261,42.542,0.194
GA,971,0.117,0.118,2870.686,0.112
RHC,976,0.117,0.118,40.519,0.361
SA,976,0.117,0.118,42.225,0.198
GA,976,0.117,0.118,2932.538,0.103
RHC,996,0.117,0.118,41.520,0.333
SA,996,0.117,0.118,44.290,0.198
GA,996,0.117,0.118,2967.378,0.088
RHC,991,0.117,0.118,41.967,0.325
SA,991,0.883,0.882,41.944,0.187
GA,991,0.117,0.118,2973.487,0.082
RHC,986,0.265,0.264,41.001,0.380
SA,986,0.792,0.797,41.620,0.182
GA,986,0.117,0.118,2991.891,0.061
RHC,981,0.117,0.118,42.879,0.311
SA,981,0.151,0.157,42.609,0.212
GA,981,0.117,0.118,3013.812,0.053
RHC,1001,0.117,0.118,45.946,0.289
SA,1001,0.300,0.300,44.434,0.197
GA,1001,0.117,0.118,3014.799,0.054
RHC,1006,0.117,0.118,29.834,0.241
SA,1006,0.583,0.588,30.119,0.126
GA,1006,0.117,0.118,2984.178,0.110
RHC,1011,0.117,0.118,31.284,0.288
SA,1011,0.117,0.118,33.705,0.131
GA,1011,0.117,0.118,3012.852,0.102
RHC,1021,0.117,0.118,28.976,0.246
SA,1021,0.117,0.118,34.718,0.171
GA,1021,0.117,0.118,3059.906,0.078
RHC,1031,0.121,0.123,28.603,0.284
SA,1031,0.139,0.140,30.943,0.133
GA,1031,0.117,0.118,3082.981,0.077
RHC,1016,0.117,0.118,32.525,0.234
SA,1016,0.117,0.118,29.485,0.143
GA,1016,0.117,0.118,3082.647,0.059
RHC,1026,0.117,0.118,31.585,0.285
SA,1026,0.184,0.183,31.065,0.161
GA,1026,0.117,0.118,3092.311,0.054
RHC,1036,0.117,0.118,30.736,0.249
SA,1036,0.811,0.812,31.841,0.167
GA,1036,0.117,0.118,3114.996,0.056
RHC,1061,0.117,0.118,31.440,0.220
SA,1061,0.117,0.118,31.571,0.184
GA,1061,0.117,0.118,3116.182,0.106
RHC,1051,0.117,0.118,34.241,0.244
SA,1051,0.627,0.626,33.287,0.171
GA,1051,0.117,0.118,3120.098,0.094
RHC,1041,0.117,0.118,30.639,0.234
SA,1041,0.537,0.534,33.476,0.130
GA,1041,0.117,0.118,3134.817,0.092
RHC,1046,0.117,0.118,29.608,0.232
SA,1046,0.117,0.118,32.024,0.131
GA,1046,0.117,0.118,3171.341,0.075
RHC,1056,0.117,0.118,32.703,0.236
SA,1056,0.117,0.118,34.956,0.166
GA,1056,0.117,0.118,3197.072,0.071
RHC,1066,0.117,0.118,34.884,0.243
SA,1066,0.117,0.118,32.749,0.172
GA,1066,0.117,0.118,3211.709,0.070
RHC,1071,0.117,0.118,32.235,0.223
SA,1071,0.117,0.118,30.774,0.209
GA,1071,0.117,0.118,3219.671,0.052
RHC,1081,0.117,0.118,30.284,0.230
SA,1081,0.117,0.118,33.626,0.121
